signal_x/signal_y,CN,DP,PCN,VPd
CN,0.14594171817783164,8.611279127199167e-07,0.013164429205062271,0.0036119389955734382
DP,8.611279127199167e-07,0.1206942743503618,8.8504533456137e-05,0.00030310707443464285
PCN,0.013164429205062271,8.8504533456137e-05,0.11938183043095683,8.819572713263807e-05
VPd,0.0036119389955734382,0.00030310707443464285,8.819572713263807e-05,0.5578208967299241
