source/destination,CN,DP,PCN,VPd
CN,0.05276166066244714,0.00015582140359035991,0.00393459508314108,0.007157684247548476
DP,0.00024999475881466835,0.038229440104258015,0.00013515276327662846,0.0002564544569172403
PCN,0.020987194387853812,0.0005004155499256786,0.04227530496892007,0.0036781989656734576
VPd,0.000761281558099926,0.00045182399588403405,0.0004064867318343706,0.11683691654539599
